Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA_20,EMA_20,RSI_14,Bollinger_Upper,Bollinger_Lower,Return,Lag1_Return,Volatility_10,MACD,MACD_signal
2019-08-02,ADANIPORTS,EQ,371.1,368.5,379.75,363.65,376.0,375.45,373.09,3029294,113020653559999.98,68937.0,1054765,0.3482,395.94750000000005,391.092906662797,27.21733243060251,429.8932690565464,362.0017309434537,0.011721907841552026,-0.017083829956297203,0.018306879402778902,-9.588576434829633,-6.561077755323178
2019-08-05,ADANIPORTS,EQ,375.45,372.0,372.0,359.15,369.0,367.85,365.38,2432675,88886042815000.0,68145.0,756571,0.311,394.45,388.8792965044354,15.728021978021928,430.6211865556052,358.27881344439476,-0.020242375815687774,0.011721907841552026,0.018200835562192163,-10.205724458180157,-7.290007095894575
2019-08-06,ADANIPORTS,EQ,367.85,365.6,378.6,365.25,377.3,376.95,373.92,3719169,139068368590000.02,109751.0,1848265,0.497,393.0475,387.7431730278225,25.307881773398947,429.6687258698263,356.42627413017374,0.02473834443387246,-0.020242375815687774,0.020898454971291877,-9.847014511139434,-7.801408578943547
2019-08-07,ADANIPORTS,EQ,376.95,379.55,379.55,365.65,373.25,372.25,371.45,3419644,127022487840000.02,77732.0,683772,0.2,391.40999999999997,386.26763273945846,25.29230769230763,428.7035383142753,354.11646168572463,-0.012468497148162894,0.02473834443387246,0.015319341686347146,-9.828686039684271,-8.206864071091692
2019-08-08,ADANIPORTS,EQ,372.25,378.0,379.5,367.45,374.95,373.95,373.21,3397923,126815421295000.0,74845.0,1080055,0.3179,389.4625,385.09452485951005,29.257067718606123,426.0929859372401,352.83201406275987,0.0045668233713902495,-0.012468497148162894,0.015467384133809797,-9.566705772422438,-8.478832411357843
2019-08-09,ADANIPORTS,EQ,373.95,377.7,380.5,374.25,376.0,376.6,377.43,2223023,83903515495000.0,44752.0,614627,0.2764999999999999,387.52750000000003,384.2855224919377,30.129870129870113,422.4605107039241,352.59448929607595,0.007086508891563037,0.0045668233713902495,0.015641827219254143,-9.041032277873455,-8.591272384660964
2019-08-13,ADANIPORTS,EQ,376.6,376.4,379.55,359.1,360.5,360.55,368.63,2576776,94988667740000.0,48081.0,1045652,0.4058,385.1,382.02499654032454,27.102803738317732,420.4659217475104,349.73407825248967,-0.04261816250663841,0.007086508891563037,0.019712521840241557,-9.806489998350742,-8.83431590739892
2019-08-14,ADANIPORTS,EQ,360.55,361.55,363.0,356.6,358.0,358.85,359.82,4506969,162171175840000.0,40518.0,2254085,0.5001,382.15500000000003,379.81785401267456,33.94294074615945,415.842837880325,348.46716211967504,-0.00471501872139779,-0.04261816250663841,0.019697541980015946,-10.430065249455765,-9.15346577581029
2019-08-16,ADANIPORTS,EQ,358.85,356.05,358.55,350.0,356.55,357.35,355.76,4433448,157724638100000.0,38955.0,2593908,0.5851,379.16999999999996,377.67805839241987,33.42939481268009,410.32346394524905,348.0165360547509,-0.004180019506757726,-0.00471501872139779,0.019004636627115174,-10.919418335085481,-9.50665628766533
2019-08-19,ADANIPORTS,EQ,357.35,357.6,363.4,356.5,357.9,357.4,360.06,2152462,77502494345000.0,27992.0,729231,0.3388,376.42,375.74681473599895,32.208363903154776,404.8101650872745,348.0298349127255,0.00013991884706854307,-0.004180019506757726,0.01859606773555482,-11.174388207472532,-9.84020267162677
2019-08-20,ADANIPORTS,EQ,357.4,357.4,359.75,352.0,354.35,354.95,355.37,1767899,62825789204999.99,25175.0,516740,0.2923,373.89250000000004,373.76616571352287,34.95222929936301,400.3144062820507,347.4705937179494,-0.006855064353665341,0.00013991884706854307,0.017806856215046536,-11.442249068089438,-10.160611950919304
2019-08-21,ADANIPORTS,EQ,354.95,355.0,355.0,348.4,349.05,350.7,352.14,1459740,51403668440000.0,15763.0,472606,0.3238,371.0675,371.56938802652064,32.93323330832705,394.3955782929211,347.7394217070789,-0.011973517396816402,-0.006855064353665341,0.017226401809829112,-11.860746903979134,-10.500638941531271
2019-08-22,ADANIPORTS,EQ,350.7,348.8,348.8,340.8,345.2,345.05,344.45,2171160,74785587080000.0,35447.0,658426,0.3033,368.33250000000004,369.0437320239949,26.173020527859165,390.28731663969876,346.3776833603013,-0.01611063587111483,-0.011973517396816402,0.014037077277645279,-12.504176867665024,-10.901346526758022
2019-08-23,ADANIPORTS,EQ,345.05,346.4,354.15,339.65,348.35,349.35,348.04,2246560,78189824195000.0,50445.0,540860,0.2408,366.76,367.16813849790015,33.53520060560177,389.4478497507892,344.0721502492108,0.012461962034487684,-0.01611063587111483,0.015439727544265164,-12.522770977474124,-11.225631416901242
2019-08-26,ADANIPORTS,EQ,349.35,366.0,375.0,349.35,369.65,368.2,362.62,4974219,180372883060000.0,54003.0,1374922,0.2764,366.15250000000003,367.2664110219097,45.49968963376784,387.9410164104174,344.3639835895827,0.0539573493631027,0.012461962034487684,0.02450953212461715,-10.890925667752128,-11.158690267071421
2019-08-27,ADANIPORTS,EQ,368.2,370.3,374.25,367.3,372.8,372.05,371.48,3040184,112937885670000.0,54621.0,1277053,0.4201,365.6725,367.72199092458493,52.734375,386.42169085292824,344.9233091470718,0.010456273764258617,0.0539573493631027,0.024660055657989722,-9.181178765061077,-10.763187966669353
2019-08-28,ADANIPORTS,EQ,372.05,373.1,374.25,364.05,367.4,365.95,368.65,2186454,80602695125000.0,30580.0,853895,0.3904999999999999,365.27750000000003,367.55322988414827,42.54742547425474,385.6689191189045,344.88608088109555,-0.01639564574653951,0.010456273764258617,0.020833478452574078,-8.22361433970417,-10.255273241276317
2019-08-29,ADANIPORTS,EQ,365.95,367.0,370.3,361.3,366.65,366.2,364.95,1725632,62977415635000.0,24569.0,529226,0.3067,364.915,367.4243508475627,45.63806777217014,384.949341569013,344.88065843098707,0.0006831534362616853,-0.01639564574653951,0.020719028764227855,-7.359726378644439,-9.676163868749942
2019-08-30,ADANIPORTS,EQ,366.2,368.45,368.85,359.4,364.2,365.7,364.29,2313806,84289337620000.0,43386.0,831576,0.3594,364.3225,367.2601269573187,43.94717534849596,383.4645307727233,345.18046922727666,-0.001365374112506812,0.0006831534362616853,0.0206414226069074,-6.638905595721383,-9.068712214144231
2019-09-03,ADANIPORTS,EQ,365.7,362.7,367.15,359.55,361.0,361.3,363.3,1638833,59539439079999.99,22776.0,504383,0.3078,363.83250000000004,366.6924958185264,39.05579399141629,382.744380838265,344.9206191617351,-0.01203171998906205,-0.001365374112506812,0.021148672462683198,-6.34950007524634,-8.524869786364652
